empresa,responsavel,telefone,site
Century,Julio César Samurano,+55 (44) 3264-8550,www.centuryestofados.com.br
Cerâmica Mazzotti Ltda. EPP,Valdecir Mazzotti,+55 (19) 3581-3962,www.ceramicamazzotti.com.br
CGS Móveis,Rogério,+55 (45) 3264-1801,www.cgsmoveis.com.br
China Shopping - Vacheron do Brasil Ltda,Jonh Lu,11-5666-7999,www.chinashopping.com.br
Combinare - Majoka Moveis e Estofados Ltda.,Carlos Eduardo Tudino,+55 (43) 3303-3100,www.combinare.com.br
Companhia das Folhas,Angela Geribello Ribeiro,+55 (11) 3831-0300,www.ciadasfolhas.com.br
Cristais di Murano,Marcos Paulo D. Cavalli,+55 (47) 3327-0459,www.cristaisdimurano.com.br
Cristais São Marcos,Antonio Carlos Molinari,+55 (35) 3697-1892,www.cristaissaomarcos.com.br
D Angelis,Claudinei dos Anjos,+55 (45) 3286-8100 (45) 9972-0582,www.anjos.ind.br
Daeve Flores e Plantas Pemanentes,William Freitas,+55 (11) 3208-3515,www.daeve.com.br
Deco Inside and Outside,Valdemar Fernandes junior,+55 (43) 3253-1267,www.decometal.com.br
Decorare Textil Ltda.,Walker Coutinho Cunh,83-3245-3344,www.decorareonline.com.br
Decorative,Sandro da Silva Lemes,+55 (11) 3361-2401,
Decortextil,Tiago Reis,+55 (19) 3478-5005,www.decortextil.com.br
Delinear,Renan Tozatti dos Santos,+55 (11) 2015-4651,www.delinearmoveis.com.br
Desigan Indústria e Comércio de Móveis Ltda,Edson Ernesto Durigan,41-3677-2525,www.desigan.com.br
Destack Móveis,Ederval Gregório,+55 (17) 3422-4040,www.dkline.com.br
DF Decor,Luiz Carlos Fiorin,+55 (54) 98435-5408,
DiBrianza,Elise/Aline,+55 (41) 3272-0380,www.dibrianza.com.br
Doimo Brasil,Guilherme Taveira,+55 (31) 3626-9350,www.doimobrasil.com.br
Due Vetri Moveis e Artigos de Decoração Ltda - Me.,Luca Millani,+55 (11) 3445-2329,www.lucamilani.com.br
Eduardo Moraes,Eduardo Moraes,+55 (21) 2716-5533,www.eduardomoraesimport.com.br
Elisê Móveis Ltda.,Clóvis Pires,+55 (54) 3281-9012,www.elise.com.br
Empório Tapetes,Douglas Wagner de Souza,+55 (48) 3015-5010,www.emporiotapetes.com.br
Emporio Tiffany - Serbin Indústria e Comercial Ltd,Miguel Angel Puyol,+55 (11) 3588-4002,www.emporiotiffany.com.br
Entrecasa,Marcelo Marinho,+55 (71) 3016-6334,www.entrecasa.com.br
Escal,Altemir Luiz Ansolin,+55 (49) 3322-2132,www.escalmoveis.com.br
Essenza Design,Cassiano Carlesso,(54) 3293.1077,www.essenzadesign.com.br
Estobel Indústria de Estofados Ltda.,Jurandir Volpini,+55 (54) 2109-3000,www.estobel.com
Estofados Enele,Anamaria Lazaron Arn,+55 (49) 3344-8999,www.enele.com.br
Estofados Imperial-Casavetti,Juarez Osmarin,+55 (54) 3454-9799,www.vilaimperial.com.br
Estofados Jardim Ltda.,Onivaldo Stähelin,+55 (47) 2106-7599,www.estofadosjardim.com.br
Estofados Mannes,Marcio,+55 (47) 3373-9200,www.mannes.com.br
Estofados Tironi Ltda.,Richard W. Daniel,+55 (47) 3370-4077,www.estofadostironi.com.br
Estofados Treviso Ltda.,André Trevisan,+55 (54) 3477-1215,www.estofadostreviso.com.br
Feeling Estofados Ltda.,Laercio Luis Coelho,+55 (47) 3376-1300,www.feelingestofados.com.br
Fibras Arte - Artes Primavera Móv.Ind.Com.Ltda,Fibras Arte,+55 (21) 2676-3787,www.fibrasarte.com.br
Flor de Liz Imports Ltda - EPP,Gabriel Demore,(54) 3225-6830,www.flordelizimports.com.br
Formanova Ind. E Com. De Móveis Ltda.,Paulo Augusto Allema,+55 (48) 3242-3099 (48) 3286-0644,www.formanovamoveis.com.br
Formline Móveis,Gilmar Batista da Cr,+55 (44) 3268-1878,www.formlinemoveis.com.br
Frontier Importadora,Fabio Robertson Medeiros da Silva,+55 (17) 3213-9600,www.frontierimportadora.com.br
Fuzimoto - Fabio Fuzimoto ME.,Fabio Fuzimoto,+55 (11) 45941361,www.fabiofuzi.com.br
German Interiores,José Luiz Diaz Ferna,+55 (61) 3354-7979,www.german.com.br
Germânia Moveis e Decoração,Virgilio Kehl,+55 (54) 3281-8250,www.germania.com.br
Gold Line Ind. e Com. de Móveis e Estofados Ltda,Camila Batista Sala,+55 (44) 3032-9100,www.goldline.ind.br
Goods BR Distribuidora Ltda - ME,Josué Neumann Spengler,54 32955300,www.goodsbr.com.br
GS Móveis,Vitor Angelo Stival,(41) 3372-1216,www.gsmoveis.com.br
Ha. Fatto,Flavio Roberto Gropp e Anna Camila,+55 (47) 3318-0800,www.hafatto.com.br
Hariz Comércio de Tapetes Ltda.,Melhem Skaf,+55 (11) 5053-7700,www.hariz.com.br
Havia Industrial e Comercio de Acessorios Ltda-ME,Fabriciana Regis,+55 (48) 3263-7226,www.havia.com.br
Helainy Rocha - Classcasa Movelaria do brasil LTDA,Helainy Alves Rocha,+55 (45) 3306-1070,www.helainyrocha.com.br
Helizart Ltda,Maria Eliza Bravim,+55 (31) 3227-9613,www.helizart.com.br
Herval Móveis e Colchões,Almir Alberto Machado,+55 (51) 3564-8300,www.moveisherval.com.br
Home Collection,Anderson Evangelista,+55 (11) 3826-0077,www.homecollection.com.br
Im In,Maria Cerchiaro,+55 (12) 2125 1869,www.iminhome.com.br
Itamoveis Industria e Comercio Ltda - ME,Reinaldo,+55 (47) 3644-3597,-
IUMMI.,Cinara Petroli,+55 (54) 2621-7030,www.iummi.com.br
Jowanel Móveis,Carlos A. P. da Costa,+55 (17)3411-1400,www.jowanel.com.br
K & F Comércio de Tapetes e Artigos de Decoração,Alexandre e Henrique,+55 (11) 3825-0199,
KZ Home Stock,Anna Alberti,(11) 2284-8888,www.kzhomestock.com.br
Laform Estofados Ltda.,Estevão Exner,+55 (54) 3285-1690,www.laform.com.br
Lazzari Móveis,Nati e Suzana,(54) 3464-8800,www.lazzinterni.com.br
Les Coussins,Fátima Queiroz,+55 (19) 3295-7437,www.lescoussins.com.br
Liberal Marini - AM Liberal Decorações Ltda,Luppa Marini,+55 (21)993347452,www.liberalmarini.com
Linea Home,Renata Almada e Alessandra Costa,(11) 98449-0072,www.lineahome.com.br
Liv.In Comercio Importação e Distribuição Eireli,Josie Romão,(11) 3181-4996,www.livincompany.com.br
Lovato Moveis Eireli Epp,Ricardo Lovato,+55 (41) 3677-2805,www.lovatomoveis.com.br
Lucatti Artes e Decorações Ltda,Ivanete Antônia Luca,+55 (13) 3313-1747,www.lucattiartes.com
Madeplan Design,Jânio Matias,+55 (48) 3658-8584,www.madeplan.ind.br
Maiori Casa,Karina Ferreira,+55 (11) 2423-3333,www.maioricasa.com.br
Maisofa Estofados,Fabricio Silveira Abagge,+55  (47) 3634-2723,www.maisofa.com.br
MATREZAN DECOR,Luiz Carlos Fiorin,+55 (54) 3275-1225,www.matrezan.com.br
Melyana Comércio Ltda.,Verônica Aguiar Barr,+55 (21) 2527-8020,www.melyana.com.br
Mempra Design,Bruno Prado,+55 (43) 3174-6600,www.mempra.com.br
Mestre Artesão,Julio Cesar Amarante,+55 (43) 3328-8143,www.mestreartesao.com.br
Mobilier Indústria e Comércio de Móveis Ltda.,Johnny Ariel Duarte,+55 (48) 4107-0994,www.mobilierdecor.com.br
Modali Design,Denise Marcovici,+55 (11) 3661-2200,www.modali.com.br
Modalle Móveis,Mariluci Pardo,+55 (17) 3421-9186,www.modalle.com.br
Móveis Cacique,Mateus Arantes / Fra,+55 (35) 3531-1559,www.moveiscacique.com.br
Móveis Cosmo,Angelo Baldissera,+55 (17) 3426-7600,www.cosmo.ind.br
Móveis Irimar Industria e Comércio Ltda,Vianei Amilcare,+55 (47) 3644-2599,www.irimar.com.br
Móveis James Ltda.,Jaime Pfutzenreuter,+55 (47) 3631-0300,www.moveisjames.com.br
Móveis Rafana,Leonardo de Pontes B,+55 (32) 3531-1458,www.rafanamoveis.com.br
Móveis Rudnick S/A,Marketing,+55 (47) 3631-1000,www.rudnick.com.br
Movelaria Coisas do Brasil,-,+55 (34) 3318-2100,www.reginez.com.br
Msul Ind. de Moveis Ltda.,Arthur,+55 (54) 3477-2274,www.msulmoveis.com.br
Neoali Brasil Art,Liara Nunes,+55 (45) 3240-2119,www.neoali.com.br
Nova Home Comércio e Distribuição Ltda - EPP,Alexandre M Silva,+55 (21) 3158-9534,www.novahome.com.br
Nusa Dua Ltda.,Vinicius Simonato,+55 (47) 3367-5504,www.nusadua.com.br
O Galpão,Suzana Lins,+55 (21) 2254-5400,www.ogalpao.com.br
Officina Móveis,Anivo Luiz Berti,+55 (54) 3282-1290,www.officinamoveisgramado.com.br
Oficina J. Mangabeira,J. Mangabeira,+55 (19) 3867-1275,www.jmangabeira.com.br
Old Compton,Maria Auxiliadora,+55 (32) 3331.6914,www.hobnob.com.br
ÓR Design,Ricardo,+55 (11) 2606-0511,www.ordesign.com.br
Orbhes Espumas e Colchoes Ltda.,Laércio Luís Coelho,+55 (47) 3376-8400,www.orbhes.com.br
Parma Móveis Ltda.,Marianna B. e Parma,+55 (32) 3539-2500,www.parmamoveis.com.br
Pollus Móveis,Eduardo P. da Costa,+55 (17) 3426-1234,www.pollusmoveis.com.br
Quadrum & Arte,Sandro da Silva Leme,+55 (11) 3222.7612,www.quadrumeart.com.br
Recliners Industrial Ltda.,Recliners Industrial,+55 (19) 3486-7512,www.recliners.com.br
Renar Móveis S/A,Marcelo Frey,+55 (49) 3246-591,www.renar.com.br
Ribeiro & Pavani,Robson Alexandre Ribeiro,11-3414-1000,www.ribeiroepavani.com.br
Rivatti Móveis Ltda.,Marcio Quadros,+55 (54) 3025-9300,www.rivatti.com.br
Rosa Maria,Rosa Maria,+55 (54) 3462-4932,www.rosamariadecoracao.com.br
Safari,Donato Antônio Hilgenstieler,+55 (41) 3543-1212,safari@safarimoveis.com.br
Salvatore Minuano,Paulo Enzveiler,+55 (51) 3552-2500,www.salvatoreminuano.com.br
Samec Móveis,Gustavo Tonon Gasparoto,4432641433,www.samecmoveis.com.br
Sandra Fuganti,Sandra Fuganti,+55 (43) 3327-6648,www.sandrafuganti.com.br
Sankonfort Colchões,Domingos Vitiello,+55 (11) 2131-3888,www.sankonfort.com.br
Sarquis Samara Atelier de Escultura Ltda.,Sarquis Samara,+55 (43) 3321-0186,www.sarquissamara.com.br
Serra Gaucha Estofados,Katila,+55 (54) 3452-4281,www.serragauchaestofados.com.br
Sier Móveis Ltda.,Ismael Reis,+55 (32) 3539-2100,www.siermoveis.com.br
Silvia Heringer,Olivia Silvia Hering,+55 (62) 3086.8700,www.silviaheringer.com.br
St. James,Ricardo Saad,+55 (11) 2955-5344,www.saintjames.com.br
Star Mobile,Ademir Agatti,+55 (54) 3462-6631,www.starmobileestofados.com.br
Studio Casa,Paulo Mourão,41-3649-1066,www.studiocasa.com.br
Stylofino Ind. e Com.de Quadros Ltda-ME,Gerson Jose Garcia,+55 (11) 4443-2635,www.stylofino.com.br
Tafona Antiguidades Ltda.,Greizy Zuccki,+55 (47) 3343-1043,www.tafona.com.br
Tapecouro,Caubi W. Januário,+55 (16) 3727-1164,www.tapecouro.com.br
Tapetah,Vanderlei Bernardi,+55 (11) 98635-2166,www.tapetah.com.br
Tapetes São Carlos Ltda.,Guilherme Gomes,+55 (16) 3362-4000,www.tapetessaocarlos.com.br
Tapis Comercio e Confecções de Tapetes Ltda.,David Marcovici,+55 (11) 3667-5548,www.tapetestapis.com.br
Tempus,Ana Paula Trevisan,+55 (11) 2638-3743,www.tempusdecor.com.br
Tendenze TR Decoração,Mariangela Oliveira,+55 (11) 3578-2330,
Tessuti Estofados Imp Exp Ltda.,Celso Amaral,+55 (44) 3244-9028,www.tessutiestofados.com.br
Tissot & Cia Ltda,Carlos Werb,+55 (54) 3421.4000,www.tissot.com.br
Top Decor - Decoratto Interiori,Joel da Silva,+55 (47)3035-2808,www.topdecor.ind.br
Toque de Arte,Mayta,+55 (32) 3574-3789,www.toquedeartedesign.com
Torneados Fleischmann Ltda,Everton Maciel Schoeffel,+55 (47) 3644-3696,www.torneadosfleischmann.com.br
Trapos e Fiapos - Martins & Cia Ltda Me.,Tereza do Carmo,+55 (86) 9910-0101,www.traposefiapos.com.br
Trees&Co - Brilliant Fgc Comercio Eireli - ME,Fabiolla,+55 (11) 2738-0235,www.treesco.com.br
TS Brasil,Rafael Esperança,+55 (19) 3902-9083,www.ts-brasil.com
Tumar Ind. de Móveis LTDA,Neri de Marco,+55 (54) 3463-8533,www.tumar.com.br
Universum do Brasil Industria Mov. Ltda.,Claudiomar Verza,+55 (54) 3293-1488,www.universum.com.br
Urban Imp. Comercio e Distribuição Ltda,Renato Orensztejn,+55 (11) 5660-2600,www.urbanbrasil.com.br
Vanessa Taques Casa,Manoella Taques,+55 (41) 3677-9737,www.vanessataques.com
Via Star Com Imp Exp Ltda.,Mario Alberto M. Feu,+55 (11) 2225-9090,www.viastar.com.br
Ville Art,Daniel Macagnan,+55 (54) 3292-3841,www.villeart.com.br
Vimeza Industria de Móveis Ltda.,Josimar Zanol,54-3283-1622,www.vimeza.com.br
